,character,character_HTML,pinyin_HTML,english_gloss,example1,example2,example3,example4,example5,chinese_sentence_HTML,english_translation,pinyin_sentence,stroke_order_image,char_set_number,audio_full_path,pinyin,pinyin_nfd,tone
10,们,"<span class=""tone5"">们</span>","<span class=""tone5"">men</span><!--men-->",pluralizer suffix,"<span class=""tone1"">他</span><span class=""tone5"">们</span>{{c1:: － <span class=""tone1"">tā</span><span class=""tone5"">men</span> － they; them}}","<span class=""tone1"">她</span><span class=""tone5"">们</span>{{c1:: － <span class=""tone1"">tā</span><span class=""tone5"">men</span> － they; them}}","<span class=""tone4"">认</span><span class=""tone2"">门</span>{{c1:: － <span class=""tone4"">rèn</span><span class=""tone2"">mén</span> － people (in general)}}",,,"请你<span class=""highlight"">们</span>等一下，我马上回来。","Please wait a moment, I'll be right back.",qǐng nǐ men děng yī xià ， wǒ mǎ shàng huí lai 。<!--qing ni men deng yi xia ， wo ma shang hui lai 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20204.gif"" alt=""们"" style=""width:75px;height:75px;"">",3 CharSet,data/sounds/oddcast-d4c3c4c8-c93e2451-9968e6c9-6caac7af-af2ec4e8.wav,men,men,Tone 5 (neutral)
11,正,"<span class=""tone4"">正</span>","<span class=""tone4"">zhèng</span><!--zheng-->",upright; proper; punctuality; sharrp; in the midst of,"<span class=""tone4"">正</span><span class=""tone4"">在</span>{{c1:: － <span class=""tone4"">zhèng</span><span class=""tone4"">zài</span> － in the process of}}","<span class=""tone1"">真</span><span class=""tone4"">正</span>{{c1:: － <span class=""tone1"">zhēn</span><span class=""tone4"">zhèng</span> － genuine; true}}","<span class=""tone4"">正</span><span class=""tone2"">常</span>{{c1:: － <span class=""tone4"">zhèng</span><span class=""tone2"">cháng</span> － normal; regular}}",,,"你的心跳很<span class=""highlight"">正</span>常。",Your heartbeat is quite normal.,,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/27491.gif"" alt=""正""style=""width:75px;height:75px;""/>",3 CharSet,data/sounds/oddcast-acb74417-492b130c-2a18948e-81d940dc-f4fde5cd.wav,zhèng,zhèng,Tone 4 ( ̀)
12,是,"<span class=""tone4"">是</span>","<span class=""tone4"">shì</span><!--shi-->",is (to be),"<span class=""tone4"">是</span><span class=""tone5"">的</span>{{c1:: － <span class=""tone4"">shì</span><span class=""tone5"">de</span> － yes}}","<span class=""tone4"">不</span><span class=""tone5"">是</span>{{c1:: － <span class=""tone4"">bù</span><span class=""tone5"">shi</span> － not to be}}","<span class=""tone4"">是</span><span class=""tone4"">不</span><span class=""tone5"">是</span>{{c1:: － <span class=""tone4"">shì</span><span class=""tone4"">bù</span><span class=""tone5"">shi</span> － to be or not to be}}","<span class=""tone2"">还</span><span class=""tone5"">是</span>{{c1:: － <span class=""tone2"">hái</span><span class=""tone5"">shi</span> － or}}",,"他<span class=""highlight"">是</span>日本人。",She is Japanese.,tā shì rì běn rén 。<!--ta shi ri ben ren 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/26159.gif"" alt=""是""style=""width:75px;height:75px;""/>",3 CharSet,data/sounds/oddcast-e6e7022b-fa86b952-9513f7e2-932bfb70-42b00b77.wav,shì,shì,Tone 4 ( ̀)
13,手,"<span class=""tone3"">手</span>","<span class=""tone3"">shǒu</span><!--shou-->",hand,"<span class=""tone3"">手</span><span class=""tone1"">机</span>{{c1:: － <span class=""tone3"">shǒu</span><span class=""tone1"">jī</span> － Cell Phone}}",,,,,"她枕着<span class=""highlight"">手</span>臂睡着了。",She put her head on her arms and fell asleep.,Tā zhěnzhe shǒubì shuìzháo le.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/25163.gif"" alt=""手""style=""width:75px;height:75px;""/>",3 CharSet,data/sounds/oddcast-42d8b719-7a31bf10-d3bd4f86-13ac1f2c-b631bca6.wav,shǒu,shǒu,Tone 3 ( ̌)
15,中,"<span class=""tone1"">中</span>","<span class=""tone1"">zhōng</span><!--zhong-->",middle; among; medium,"<span class=""tone1"">中</span><span class=""tone2"">文</span>{{c1:: － <span class=""tone1"">zhōng</span><span class=""tone2"">wén</span> － Chinese language}}","<span class=""tone1"">中</span><span class=""tone2"">国</span>{{c1:: － <span class=""tone1"">zhōng</span><span class=""tone2"">guó</span> － China}}","<span class=""tone1"">中</span><span class=""tone1"">餐</span>{{c1:: － <span class=""tone1"">zhōng</span><span class=""tone1"">cān</span> － Chinese food}}","<span class=""tone1"">中</span><span class=""tone2"">级</span>{{c1:: － <span class=""tone1"">zhōng</span><span class=""tone2"">jí</span> － intermediate level}}",,"我穿<span class=""highlight"">中</span>号的。",I wear a medium size.,wǒ chuān zhōng hào de 。<!--wo chuan zhong hao de 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20013.gif"" alt=""中"" style=""width:75px;height:75px;"">",3 CharSet,data/sounds/oddcast-e8890fd8-2dca3b48-36e5f993-b1172a9b-fb6196d6.wav,zhōng,zhōng,Tone 1 ( ̄)
16,么,"<span class=""tone5"">么</span>","<span class=""tone5"">me</span><!--me-->",appendage character （什么）,"<span class=""tone4"">那</span><span class=""tone5"">么</span>{{c1:: － <span class=""tone4"">nà</span><span class=""tone5"">me</span> － in that way}}","<span class=""tone3"">怎</span><span class=""tone5"">么</span>{{c1:: － <span class=""tone3"">zěn</span><span class=""tone5"">me</span> － how}}","<span class=""tone1"">多</span><span class=""tone5"">么</span>{{c1:: － <span class=""tone1"">duō</span><span class=""tone5"">me</span> － to what extent}}","<span class=""tone4"">要</span><span class=""tone5"">么</span>{{c1:: － <span class=""tone4"">yào</span><span class=""tone5"">me</span> － either/or}}",,"这<span class=""highlight"">么</span>做就行了。",Doing it this way should be fine.,zhè me zuò jiù xíng le 。<!--zhe me zuo jiu xing le 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20040.gif"" alt=""么"" style=""width:75px;height:75px;"">",4 CharSet,data/sounds/oddcast-7195da78-61f74ebf-f1c1251a-0930bb73-d0bf02cf.wav,me,me,Tone 5 (neutral)
17,什,"<span class=""tone2"">什</span>","<span class=""tone2"">shén</span><!--shen-->",what,"<span class=""tone2"">什</span><span class=""tone5"">么</span>{{c1:: － <span class=""tone2"">shén</span><span class=""tone5"">me</span> － pardon me}}","<span class=""tone2"">什</span><span class=""tone5"">么</span><span class=""tone5"">的</span>{{c1:: － <span class=""tone2"">shén</span><span class=""tone5"">me</span><span class=""tone5"">de</span> － etcetera}}",,,,"你叫<span class=""highlight"">什</span>么名字？",What's your name?,nǐ jiào shén me míng zi ？<!--ni jiao shen me ming zi ？-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20160.gif"" alt=""什"" style=""width:75px;height:75px;"">",4 CharSet,data/sounds/oddcast-a673dd09-54b3cfd2-bddb38c2-f124576d-54546920.wav,shén,shén,Tone 2 ( ́)
18,五,"<span class=""tone3"">五</span>","<span class=""tone3"">wǔ</span><!--wu-->",five,"<span class=""tone3"">五</span><span class=""tone4"">月</span>{{c1:: － <span class=""tone3"">wǔ</span><span class=""tone4"">yuè</span> － May}}","<span class=""tone3"">五</span><span class=""tone4"">个</span><span class=""tone4"">月</span>{{c1:: － <span class=""tone3"">wǔ</span><span class=""tone4"">gè</span><span class=""tone4"">yuè</span> － five months}}","<span class=""tone3"">五</span><span class=""tone3"">体</span><span class=""tone2"">投</span><span class=""tone4"">地</span>{{c1:: － <span class=""tone3"">wǔ</span><span class=""tone3"">tǐ</span><span class=""tone2"">tóu</span><span class=""tone4"">dì</span> － prostrate onself before someone}}","<span class=""tone3"">五</span><span class=""tone2"">颜</span><span class=""tone4"">六</span><span class=""tone4"">色</span>{{c1:: － <span class=""tone3"">wǔ</span><span class=""tone2"">yán</span><span class=""tone4"">liù</span><span class=""tone4"">sè</span> － multi-colored}}",,"<span class=""highlight"">五</span>路公共区车。",Number 5 bus.,wǔ lù gōng gòng qū chē 。<!--wu lu gong gong qu che 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20116.gif"" alt=""五"" style=""width:75px;height:75px;"">",4 CharSet,data/sounds/oddcast-3f2b6a82-18a312b2-86ede338-aed0bc9b-d17b784e.wav,wǔ,wǔ,Tone 3 ( ̌)
19,七,"<span class=""tone1"">七</span>","<span class=""tone1"">qī</span><!--qi-->",seven,"<span class=""tone1"">七</span><span class=""tone1"">天</span>{{c1:: － <span class=""tone1"">qī</span><span class=""tone1"">tiān</span> － seven days}}","<span class=""tone1"">七</span><span class=""tone4"">月</span>{{c1:: － <span class=""tone1"">qī</span><span class=""tone4"">yuè</span> － July}}","<span class=""tone1"">七</span><span class=""tone1"">夕</span>{{c1:: － <span class=""tone1"">qī</span><span class=""tone1"">xī</span> － 7th evening of the 7th lunar month (Chinese Valentines day)}}","<span class=""tone1"">七</span><span class=""tone4"">上</span><span class=""tone1"">八</span><span class=""tone4"">落</span>{{c1:: － <span class=""tone1"">qī</span><span class=""tone4"">shàng</span><span class=""tone1"">bā</span><span class=""tone4"">luò</span> － be agitated}}",,"<span class=""highlight"">七</span><span class=""highlight"">七</span>四十九。",Seven times seven equals forty-nine.,qī qī sì shí jǐu 。<!--qi qi si shi jiu 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19971.gif"" alt=""七"" style=""width:75px;height:75px;"">",4 CharSet,data/sounds/oddcast-bf3fd2ef-ea3d0b85-b3e839c7-b0f89301-6e665275.wav,qī,qī,Tone 1 ( ̄)
20,九,"<span class=""tone3"">九</span>","<span class=""tone3"">jiǔ</span><!--jiu-->",nine,"<span class=""tone4"">舅</span><span class=""tone5"">舅</span><span class=""tone4"">抱</span>{{c1:: － <span class=""tone4"">jiù</span><span class=""tone5"">jiu</span><span class=""tone4"">bào</span> － multiplication table}}","<span class=""tone3"">九</span><span class=""tone2"">级</span><span class=""tone1"">风</span>{{c1:: － <span class=""tone3"">jiǔ</span><span class=""tone2"">jí</span><span class=""tone1"">fēng</span> － force 9 wind}}","<span class=""tone3"">九</span><span class=""tone1"">州</span>{{c1:: － <span class=""tone3"">jiǔ</span><span class=""tone1"">zhōu</span> － poetic name of China}}",,,"三三得<span class=""highlight"">九</span>。",Three times three equals nine.,sān sān dé jiǔ 。<!--san san de jiu 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20061.gif"" alt=""九"" style=""width:75px;height:75px;"">",4 CharSet,data/sounds/oddcast-466b60e3-f15ce4d6-3f96faa9-59ac0547-61a4fa9c.wav,jiǔ,jiǔ,Tone 3 ( ̌)
21,六,"<span class=""tone4"">六</span>","<span class=""tone4"">liù</span><!--liu-->",six,"<span class=""tone4"">六</span><span class=""tone4"">月</span>{{c1:: － <span class=""tone4"">liù</span><span class=""tone4"">yuè</span> － June}}","<span class=""tone1"">星</span><span class=""tone1"">期</span><span class=""tone4"">六</span>{{c1:: － <span class=""tone1"">xīng</span><span class=""tone1"">qī</span><span class=""tone4"">liù</span> － Saturday}}","<span class=""tone4"">六</span><span class=""tone1"">一</span>{{c1:: － <span class=""tone4"">liù</span><span class=""tone1"">yī</span> － June 1st}}","<span class=""tone1"">三</span><span class=""tone2"">头</span><span class=""tone4"">六</span><span class=""tone4"">臂</span>{{c1:: － <span class=""tone1"">sān</span><span class=""tone2"">tóu</span><span class=""tone4"">liù</span><span class=""tone4"">bèi</span> － super-human}}",,"二三得<span class=""highlight"">六</span>。",Two times three equals 6.,èr sān dé liù 。<!--er san de liu 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/20845.gif"" alt=""六""style=""width:75px;height:75px;""/>",4 CharSet,data/sounds/oddcast-0055b377-227d86c9-3b02174d-0c500192-4bcfb05a.wav,liù,liù,Tone 4 ( ̀)
22,百,"<span class=""tone3"">百</span>","<span class=""tone3"">bǎi</span><!--bai-->",hundred,"<span class=""tone1"">三</span><span class=""tone3"">百</span>{{c1:: － <span class=""tone1"">sān</span><span class=""tone3"">bǎi</span> － three hundred}}","<span class=""tone3"">百</span><span class=""tone1"">分</span><span class=""tone1"">之</span><span class=""tone3"">百</span>{{c1:: － <span class=""tone3"">bǎi</span><span class=""tone1"">fēn</span><span class=""tone1"">zhī</span><span class=""tone3"">bǎi</span> － hundred percent}}","<span class=""tone3"">老</span><span class=""tone3"">百</span><span class=""tone4"">姓</span>{{c1:: － <span class=""tone3"">lǎo</span><span class=""tone3"">bǎi</span><span class=""tone4"">xìng</span> － ordinary people}}",,,"我能游一<span class=""highlight"">百</span>米。",I can swim 100 meters.,Wǒ néng yóu yībǎi mǐ.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/30334.gif"" alt=""百""style=""width:75px;height:75px;""/>",4 CharSet,data/sounds/oddcast-43f0fb2b-9845800e-5fa176b8-120ef905-97a44a7c.wav,bǎi,bǎi,Tone 3 ( ̌)
23,边,"<span class=""tone1"">边</span>","<span class=""tone1"">biān</span><!--bian-->",side; edge,"<span class=""tone4"">这</span><span class=""tone1"">边</span>{{c1:: － <span class=""tone4"">zhè</span><span class=""tone1"">biān</span> － this side}}","<span class=""tone2"">旁</span><span class=""tone1"">边</span>{{c1:: － <span class=""tone2"">páng</span><span class=""tone1"">biān</span> － next to}}","<span class=""tone4"">路</span><span class=""tone1"">边</span>{{c1:: － <span class=""tone4"">lù</span><span class=""tone1"">biān</span> － roadside}}",,,"他们在海<span class=""highlight"">边</span>晒太阳。",They're sunning themselves at the seashore.,Tāmen zài hǎibiān shài tàiyáng.,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/36793.gif"" alt=""边""style=""width:75px;height:75px;""/>",4 CharSet,data/sounds/oddcast-de784c2d-4bde8a31-69c0f5c2-cd5adb08-0ed486b2.wav,biān,biān,Tone 1 ( ̄)
24,上,"<span class=""tone4"">上</span>","<span class=""tone4"">shàng</span><!--shang-->",above,"<span class=""tone4"">上</span><span class=""tone3"">午</span>{{c1:: － <span class=""tone4"">shàng</span><span class=""tone3"">wǔ</span> － morning}}","<span class=""tone4"">上</span><span class=""tone2"">学</span>{{c1:: － <span class=""tone4"">shàng</span><span class=""tone2"">xué</span> － go to school}}",,,,"<span class=""highlight"">上</span>星期三我有事儿。",I had a thing last Wednesday.,shàng xīng qī sān wǒ yǒu shì er 。<!--shang xing qi san wo you shi er 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19978.gif"" alt=""上"" style=""width:75px;height:75px;"">",4 CharSet,data/sounds/oddcast-dfa46f8a-014bab58-56a7fc8b-3bbd1377-e3376f45.wav,shàng,shàng,Tone 4 ( ̀)
25,下,"<span class=""tone4"">下</span>","<span class=""tone4"">xià</span><!--xia-->",below,"<span class=""tone4"">下</span><span class=""tone3"">午</span>{{c1:: － <span class=""tone4"">xià</span><span class=""tone3"">wǔ</span> － afternoon}}","<span class=""tone4"">下</span><span class=""tone3"">雨</span>{{c1:: － <span class=""tone4"">xià</span><span class=""tone3"">yǔ</span> － rain (verb)}}","<span class=""tone4"">下</span><span class=""tone1"">班</span>{{c1:: － <span class=""tone4"">xià</span><span class=""tone1"">bān</span> － to get off work}}",,,"<span class=""highlight"">下</span>星期三我有事儿。",I have a thing next Wednseday.,xià xīng qī sān wǒ yǒu shì er 。<!--xia xing qi san wo you shi er 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/19979.gif"" alt=""下"" style=""width:75px;height:75px;"">",4 CharSet,data/sounds/oddcast-0b197ebe-f373f5d4-3bb9a0e1-ef4f91dc-e82a0c85.wav,xià,xià,Tone 4 ( ̀)
26,马,"<span class=""tone3"">马</span>","<span class=""tone3"">mǎ</span><!--ma-->",horse,"<span class=""tone3"">马</span><span class=""tone4"">路</span>{{c1:: － <span class=""tone3"">mǎ</span><span class=""tone4"">lù</span> － street; avenue}}","<span class=""tone3"">马</span><span class=""tone4"">上</span>{{c1:: － <span class=""tone3"">mǎ</span><span class=""tone4"">shàng</span> － immediatley}}",,,,"<span class=""highlight"">马</span>跑得真快。",The horse runs really fast.,mǎ pǎo dé zhēn kuài 。<!--ma pao de zhen kuai 。-->,"<img src=""https://www.mdbg.net/chindict/rsc/img/stroke_anim/39532.gif"" alt=""马""style=""width:75px;height:75px;""/>",4 CharSet,data/sounds/oddcast-4f77eeb3-5b04936f-2fc1a5aa-902bd6d6-d046296d.wav,mǎ,mǎ,Tone 3 ( ̌)
